Job Title,Company,Time,Location,Link
Software Engineer,"
        Article",,"Vancouver, BC",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BOnCCN2IrCMInChj3DA7ShcjI4lskYsCJGgPxzEZ6mI1S3guLtpjHS321GBh7hNi3Pf9T4-7oDvAvxTz5eKtwq1H6zVSfh6GsUQm-1lIDYzsXafocEYiTCWYDRvyfHvyoIEo91T5fj88BLKuK7LXZpfnlFmDlaScpsa9GyDo2pONn6YjyE5ozu-s8kAqHZC3JVRMfMlGefm6jWTJRetWjJAgpRfpewbxuh6cM0miehu7zqzu5LcO4TpAi7LrX-tOZkY2OiIsa8Ui_8taHmp2t025Mhuxn5AkvJmeRYmorSykz06XxcohQYEwK6ShuW-eJ3YeV9i9E3MkbryWgkSExHYEYarg8ZWaXUGmjEn7JYRJah3KxYlF1o3LotmRxodvciagcMPm3Z8Qc2Wp4AXmP7k_EZwR0z8qW5IYb_6LEmlg==&p=0&fvj=0&vjs=3
Software Engineer (Sensor),"
        LMI Technologies",,"Vancouver, BC",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DVyFvn6KNrme0qWK4PNhlu3RlnHL78IF6EgpbnUMzpFb8XNMp0WGP2C1M76OqpJnZONDmphkJJUdvUvq2umabMlhdgcS32iV9Ffijnk8RwfMsJAIQiZgQ8ZbWs7yAbGlLDbri9By-19QR_7Q69QD35Zwr1MBCnJ5dA8u3jmQjxIpHXz_wJJVrqdvqQCnKhDWOi6gCHtAWqpTHMPtMBwZ-7UlDTU5aK-9oxMJZMSQDIz-crchY-EwPBOP5YaSuYCfHXs_FdmIxYbZYaQPlx3oBYCEFW8Eo5nYGRrH3Z4WBSf0_xn7hblVxpytbOS4Ul7kX1qsZj0fUJKe0kPbards2xYgN8eTyQvtmlVFxZw07PJdG7UFJRrXUzAGMyr50vJ5opEoXUh0DkWVquYtLpTQX5Q70a1AssLqtaJMDNQEmLc4XfTzyKpWr9OK5Lk0l06twJzyju3QGbXTL8OomwuF_BACNPiCn6B990zlEbjbQv5LN368v7Q3EnIqNISTmDzwwaerBtBtpWRWlOQw3j81cWppQoSMxbRMkE8a7FLXdLYrd_ZOs8VW4vzByvqvZAw6Q=&p=1&fvj=0&vjs=3
Associate Software Test Engineer,"
        Keywords Studios",1 day ago,"Burnaby, BC",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BC5cxYDRSllIDCz2D8SskxvQw6--dtvTLIF2mTkz8g5P9PHX3UblF5yFsWb0ZN9Km0zxKnBjPTNSMjD-OLdHAEm9gypIxUv9sMqjjDMRlohUxKqGZcNt6doegaHOrImURgBXXFdpPnxLrkPp6P6r4FB_kRr1y5NB_Ek6C6R6xCGqQGbg9COkZZF-VeUv01HFd2a4hqcuL8_kCWRMvBxZFuhyXQOewJWkeEm83DCA6T2PqQ2HvARpAukjB1-g21TXEG8OeiabQyRbMQWqN8vDiaQgtTHDdb2ln-i-LPOL7VgLOeup3TAEmGPpUXkMielkfK3o9n4WeMgIzTJTSApQl4iHHIAS5Vz0wZJmjlTd5519AR0ACu5b9ig6hdLDYXbGHsAGC57WTOcWLHj70Ly0yA&p=2&fvj=0&vjs=3
Lead Software Engineer (Backend/Data),,,"Vancouver, BC",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BhHii26PGOOLhoBzX9HmE8iHiEjKQX-NfyriEwCzCxgcraqRZ8HsCiRUiZENnWTu--ClAbTfErPCcJifCo38huJ7gL7b9OWKb3tjUIUuSJd33xFUV8CGBNFLmZD6nWwKzTl0j2v_e1phyus0w8z-_B3xovV9mWv4aOzYaJL6AGeHOQm8Piasg65L9lYq4uKKDpUy_lAhxfxVP8YoXkRUpm-4EqcA8J0NhSiyRIbjORgZnh8W5HAKzouIhzWIF8RLVUpAUS_J28QmrA2rQ_jT3-vZPD7WwqtboQrIeEvGDbeyEQ-4KcGhj1bbNIGJUkMLBOay7hq-17wmt_hBacXwUXM56UvgznbURHhF3tV65UDz0w6Vv3aaJmOGajMrPaF-Yuiijf110NyN50aM43zM9HX9YQhwmZnKMIEhDli4Fh2bi7qEtwijDQfvFS4uqysNM5QMb9IjdvYK5eVAyZt4HLeVHnJzYeDUU=&p=3&fvj=1&vjs=3
computer software engineer,"
        Animal Logic",28 days ago,,https://www.indeed.ca/rc/clk?jk=fd353fdb00c4f0f2&fccid=d1d21b696d38da09&vjs=3
computer software engineer,,7 days ago,,https://www.indeed.ca/rc/clk?jk=42ab781fc3a1b15e&fccid=ce1fd3f16ae1ca4e&vjs=3
Software Engineer,,3 days ago,,https://www.indeed.ca/company/Coastline-Market/jobs/Software-Engineer-e43dfac6bbf0cf3d?fccid=d1620a20932d77f2&vjs=3
Junior Software Engineer,,6 days ago,,https://www.indeed.ca/company/Studio-Technologies/jobs/Junior-Software-Engineer-b21f75618dd828d5?fccid=ba011785de75075f&vjs=3
Software Engineer Computer Vision,,10 days ago,,https://www.indeed.ca/company/DaoAI-Robotics-Inc./jobs/Software-Engineer-Computer-Vision-b0f739cb7eaab85f?fccid=dd4c58c739d0bc90&vjs=3
Software Engineer Internship,,6 days ago,,https://www.indeed.ca/company/Studio-Technologies/jobs/Software-Engineer-Internship-1843f08a645d4133?fccid=ba011785de75075f&vjs=3
